Key;Type;Desc;English;Vietnamese [vi]
Story/Vasagatan/Recording2;Text;;"(Transcribed)
(Captain) - *Knocking* “Wilkstrom, it’s urgent. There’s mist now. We don’t know how far the water’s risen. The maps are useless. We need to-”
(Olof) - “The crew are planning a mutiny, Captain. It is time to act.”
(Captain) - “A mutiny? They’re just trying to stay alive, I- Are you mad?”
(Olof) - “I gave you a chance to live. Now we have to protect ourselves from the masses. We will use the ‘lurkers’ to our advantage.”";"(Đã chép lại)
(Thuyền trưởng) - *Gõ cửa* ""Wilkstrom, việc khẩn cấp đây. Giờ có sương mù rồi. Chúng ta không biết nước đã dâng cao đến đâu. Bản đồ vô dụng rồi. Chúng ta cần-""
(Olof) - ""Thủy thủ đoàn đang âm mưu binh biến, Thuyền trưởng. Đến lúc hành động rồi.""
(Thuyền trưởng) - ""Binh biến? Họ chỉ đang cố sống sót thôi, tôi- Ông điên à?""
(Olof) - ""Tôi đã cho ông cơ hội sống. Giờ chúng ta phải tự bảo vệ mình khỏi đám đông. Chúng ta sẽ dùng lũ 'lurker' để có lợi thế."""
Story/Vasagatan/Recording3;Text;;"(Transcribed)
[The ship’s hull grinding against solid rock.]
(Captain) - “Get to the lifeboats! Hurry!”
(Hanne) - “Olof! You coward!”
(Lurker) - *Aggressive snarl.*
(Captain) - “Watch out!”
[Distorted screams are heard before the tape cuts off.]";"(Đã chép lại)
[Thân tàu nghiến vào đá cứng.]
(Thuyền trưởng) - ""Xuống xuồng cứu sinh! Nhanh lên!""
(Hanne) - ""Olof! Đồ hèn nhát!""
(Lurker) - *Tiếng gầm gừ hung dữ.*
(Thuyền trưởng) - ""Coi chừng!""
[Nghe thấy tiếng la hét méo mó trước khi băng ghi âm bị cắt.]"
Story/Vasagatan/Voiceline/HannesLetter1_1;Text;;I heard from the captain we’re heading for one of the high-rises down south.;Em nghe thuyền trưởng nói chúng tôi đang hướng đến một trong những tòa nhà cao tầng phía nam.
Story/Vasagatan/Voiceline/HannesLetter1_2;Text;;I can only hope you come to your senses and follow us. You knew the city was a failure, Ruben.;Em chỉ mong anh tỉnh táo lại và đi theo chúng tôi. Anh biết thành phố đã thất bại rồi, Ruben.
Story/Vasagatan/Voiceline/HannesLetter1_3;Text;;Why do you always have to be so stubborn? ;Sao anh cứ phải cứng đầu vậy?
Story/Vasagatan/Voiceline/HannesLetter2_1;Text;;Ruben, The yacht is ill prepared for this journey.;Ruben, Du thuyền không được chuẩn bị tốt cho chuyến đi này.
Story/Vasagatan/Voiceline/HannesLetter2_2;Text;;Olof left space for a dance floor, but no space for supplies. ;Olof để chỗ cho sàn nhảy, nhưng không có chỗ cho vật tư.
Story/Vasagatan/Voiceline/HannesLetter2_3;Text;;The bottles sure found their way to the bar. ;Mấy chai rượu thì chắc chắn tìm được đường đến quầy bar.
Story/Vasagatan/Voiceline/HannesLetter2_4;Text;;As a military man I thought Olof would at the very least be practical.;Là một quân nhân, em tưởng Olof ít nhất cũng thực tế.
Story/Vasagatan/Voiceline/HannesLetter2_5;Text;;Yet they’re all treating it like a luxury cruise.;Vậy mà ai cũng coi đây như một chuyến du thuyền sang trọng.
Story/Vasagatan/Voiceline/HannesLetter2_6;Text;;I’m sorry, Ruben. I shouldn't have left.;Em xin lỗi, Ruben. Lẽ ra em không nên rời đi.
Story/Vasagatan/Voiceline/HannesLetter3_1;Text;;I saw a large rat last night… Unnervingly large. ;Đêm qua em thấy một con chuột to... To đến đáng sợ.
Story/Vasagatan/Voiceline/HannesLetter3_2;Text;;I tried telling the crew we obviously have an infestation among the locked down supplies.;Em cố nói với thủy thủ đoàn rằng rõ ràng chúng ta có sâu bệnh trong kho vật tư bị khóa.
Story/Vasagatan/Voiceline/HannesLetter3_3;Text;;They laughed at me. I miss you, Ruben.;Họ cười nhạo em. Em nhớ anh, Ruben.
Story/Vasagatan/Voiceline/MagazineClipping1_1;Text;;calling the cost of the project’s realization “borderline criminal” and its scope “outrageous, at least”;"gọi chi phí thực hiện dự án là ""gần như phạm pháp"" và quy mô của nó là ""quá đáng, ít nhất là vậy"""
Story/Vasagatan/Voiceline/MagazineClipping1_2;Text;;Despite vocal opposition, the Floating Cities Project does not appear to be slowing down anytime soon. ;Bất chấp sự phản đối mạnh mẽ, Dự án Thành Phố Nổi dường như sẽ không chậm lại trong thời gian tới.
Story/Vasagatan/Voiceline/MagazineClipping1_3;Text;;According to former General Olof Wilkstrom’s latest statement on the issue:;Theo tuyên bố mới nhất của cựu Tướng Olof Wilkstrom về vấn đề này:
Story/Vasagatan/Voiceline/MagazineClipping1_4;Text;;“We are fully aware of the strain this puts on our people. ;"""Chúng tôi hoàn toàn nhận thức được áp lực mà điều này đặt lên người dân của mình."
Story/Vasagatan/Voiceline/MagazineClipping1_5;Text;;Nevertheless, our options are becoming increasingly limited. ;Tuy nhiên, các lựa chọn của chúng tôi ngày càng bị hạn chế.
Story/Vasagatan/Voiceline/MagazineClipping1_6;Text;;We must pull through this together or join Stockholm beneath the waves.”;"Chúng ta phải cùng nhau vượt qua điều này hoặc gia nhập Stockholm dưới lòng sóng nước."""
Story/Vasagatan/Voiceline/MagazineClipping1_7;Text;;Wilkstrom refused to comment on the rumors regarding the modification of his personal yacht. ;Wilkstrom từ chối bình luận về các tin đồn liên quan đến việc cải tạo du thuyền cá nhân của ông ta.
Story/Vasagatan/Voiceline/MagazineClipping1_8;Text;;When further asked about the Floating City Project’s whistle blowers, Olof Wilkstrom chose to terminate the interview. ;Khi được hỏi thêm về những người tố giác của Dự án Thành Phố Nổi, Olof Wilkstrom đã chọn cách kết thúc cuộc phỏng vấn.
Story/Vasagatan/Voiceline/MagazineClipping1_9;Text;;Reaching out to these anonymous sources we were able to further corroborate -;Liên hệ với các nguồn ẩn danh này, chúng tôi đã có thể xác nhận thêm rằng -
Story/Vasagatan/Voiceline/OlofsLog1_1;Text;;The captain keeps complaining about my route. If he does it again he will be reprimanded. ;Thuyền trưởng cứ than phiền về lộ trình của tôi. Nếu hắn làm vậy lần nữa sẽ bị khiển trách.
Story/Vasagatan/Voiceline/OlofsLog1_2;Text;;The crew doesn’t listen to orders. I’m shocked by their undisciplined nature. ;Thủy thủ đoàn không nghe lệnh. Tôi sốc trước bản tính vô kỷ luật của họ.
Story/Vasagatan/Voiceline/OlofsLog1_3;Text;;Somehow they believe rank and prestige disappeared with solid land. ;Bằng cách nào đó họ tin rằng cấp bậc và danh dự đã biến mất cùng với đất liền vững chắc.
Story/Vasagatan/Voiceline/OlofsLog1_4;Text;;No, they will not be allowed to mingle among my esteemed guests. ;Không, họ sẽ không được phép hòa lẫn với các vị khách quý của tôi.
Story/Vasagatan/Voiceline/OlofsLog1_5;Text;;And they will certainly not be allowed further rations. ;Và chắc chắn họ sẽ không được cấp thêm khẩu phần.
Story/Vasagatan/Voiceline/OlofsLog1_6;Text;;They should be grateful. I am the only reason they are alive.;Họ nên biết ơn. Tôi là lý do duy nhất họ còn sống.
Story/Vasagatan/Voiceline/OlofsLog2_1;Text;;As I’ve suspected the crew is completely incompetent. ;Đúng như tôi nghi ngờ, thủy thủ đoàn hoàn toàn bất tài.
Story/Vasagatan/Voiceline/OlofsLog2_2;Text;;Now they’re claiming RATS have eaten half of our supplies in a matter of weeks. ;Giờ họ lại tuyên bố CHUỘT đã ăn hết một nửa vật tư của chúng tôi chỉ trong vài tuần.
Story/Vasagatan/Voiceline/OlofsLog2_3;Text;;I promised them increased rations if they could bring me one of these ridiculous ‘lurkers’ alive.;Tôi hứa sẽ tăng khẩu phần nếu họ mang được cho tôi một trong những con 'lurker' lố bịch đó còn sống.
Story/Vasagatan/Voiceline/OlofsLog2_4;Text;;Of course, the food shortage will need to be handled. ;Tất nhiên, tình trạng thiếu lương thực sẽ cần được xử lý.
Story/Vasagatan/Voiceline/OlofsLog2_5;Text;;Tonight we’re discussing which staff members are most suitable for termination.;Tối nay chúng tôi sẽ bàn xem nhân viên nào phù hợp nhất để sa thải.
Story/Vasagatan/Voiceline/OlofsLog3_1;Text;;These ‘lurkers’ have potential.;Những con 'lurker' này có tiềm năng.
Story/Vasagatan/Voiceline/OlofsLog3_2;Text;;They were clearly once rats, now grown into something much more rabid. Yet also smarter.;Rõ ràng chúng từng là chuột, giờ đã lớn lên thành thứ gì đó điên cuồng hơn nhiều. Nhưng cũng thông minh hơn.
Story/Vasagatan/Voiceline/OlofsLog3_3;Text;;I’ve already made progress on their training. With food and pain as incentives I can discipline them. ;Tôi đã có tiến triển trong việc huấn luyện chúng. Với thức ăn và đau đớn làm động lực, tôi có thể kỷ luật chúng.
Story/Vasagatan/Voiceline/OlofsLog3_4;Text;;And by sharing their blood the mutations increase. I wonder if another species would react the same?;Và bằng cách chia sẻ máu của chúng, đột biến sẽ tăng lên. Tôi tự hỏi liệu loài khác có phản ứng tương tự không?
Story/Vasagatan/Voiceline/OlofsLog3_5;Text;;I’ve received a transmission from a place called Caravan Town not far from here.;Tôi vừa nhận được một tín hiệu từ một nơi gọi là Caravan Town không xa đây.
Story/Vasagatan/Voiceline/OlofsLog3_6;Text;;They have an active animal population. No longer do I need this make-shift crew. I will create true soldiers. Loyal soldiers.;Họ có quần thể động vật đang hoạt động. Tôi không còn cần thủy thủ đoàn tạm bợ này nữa. Tôi sẽ tạo ra những chiến binh thực thụ. Những chiến binh trung thành.
Story/Vasagatan/Voiceline/Recording1_1;Text;;(Hanne) - “But what does that mean? You can’t just fire them. We’re out at sea!”;"(Hanne) - ""Nhưng điều đó có nghĩa là gì? Ông không thể chỉ sa thải họ. Chúng ta đang ở giữa biển khơi!"""
Story/Vasagatan/Voiceline/Recording1_2;Text;;(Olof) - “Hanne, you were brought to keep the engines running. That is what you-” ;"(Olof) - ""Hanne, cô được đưa đến đây để giữ động cơ hoạt động. Đó là việc mà cô-"""
Story/Vasagatan/Voiceline/Recording1_3;Text;;(Lurker) - *Rabid noises.*;(Lurker) - *Tiếng gầm gừ điên loạn.*
Story/Vasagatan/Voiceline/Recording1_4;Text;;(Hanne) - “That’s one of those damn rats! What… what are you doing to it?”;"(Hanne) - ""Đó là một trong những con chuột chết tiệt đó! Ông... ông đang làm gì với nó vậy?"""
Story/Vasagatan/Voiceline/Recording1_5;Text;;(Olof) - “Get out. Do your job.”;"(Olof) - ""Ra ngoài. Làm việc của cô đi."""
Story/Vasagatan/Voiceline/Recording2_1;Text;;(Captain) - *Knocking* “Wilkstrom, it’s urgent. There’s mist now. We don’t know how far the water’s risen. The maps are useless. We need to-”;"(Thuyền trưởng) - *Gõ cửa* ""Wilkstrom, việc khẩn cấp đây. Giờ có sương mù rồi. Chúng ta không biết nước đã dâng cao đến đâu. Bản đồ vô dụng rồi. Chúng ta cần-"""
Story/Vasagatan/Voiceline/Recording2_2;Text;;(Olof) - “The crew are planning a mutiny, Captain. It is time to act.”;"(Olof) - ""Thủy thủ đoàn đang âm mưu binh biến, Thuyền trưởng. Đến lúc hành động rồi."""
Story/Vasagatan/Voiceline/Recording2_3;Text;;(Captain) - “A mutiny? They’re just trying to stay alive, I- Are you mad?”;"(Thuyền trưởng) - ""Binh biến? Họ chỉ đang cố sống sót thôi, tôi- Ông điên à?"""
Story/Vasagatan/Voiceline/Recording2_4;Text;;(Olof) - “I gave you a chance to live. Now we have to protect ourselves from the masses. We will use the ‘lurkers’ to our advantage.”;"(Olof) - ""Tôi đã cho ông cơ hội sống. Giờ chúng ta phải tự bảo vệ mình khỏi đám đông. Chúng ta sẽ dùng lũ 'lurker' để có lợi thế."""
Story/Vasagatan/Voiceline/Recording3_1;Text;;[The ship’s hull grinding against solid rock.];[Thân tàu nghiến vào đá cứng.]
Story/Vasagatan/Voiceline/Recording3_2;Text;;(Captain) - “Get to the lifeboats! Hurry!”;"(Thuyền trưởng) - ""Xuống xuồng cứu sinh! Nhanh lên!"""
Story/Vasagatan/Voiceline/Recording3_3;Text;;(Hanne) - “Olof! You coward!”;"(Hanne) - ""Olof! Đồ hèn nhát!"""
Story/Vasagatan/Voiceline/Recording3_4;Text;;(Lurker) - *Aggressive snarl.*;(Lurker) - *Tiếng gầm gừ hung dữ.*
Story/Vasagatan/Voiceline/Recording3_5;Text;;(Captain) - “Watch out!”;"(Thuyền trưởng) - ""Coi chừng!"""
Story/Vasagatan/Voiceline/Recording3_6;Text;;[Distorted screams are heard before the tape cuts off.];[Nghe thấy tiếng la hét méo mó trước khi băng ghi âm bị cắt.]
Story/X/Voiceline/BikerDialog1;Text;;Buddy! Yeah, could you be an angel and help me out a bit? I’d owe you big time!;Bạn ơi! Ừ, bạn có thể làm thiên thần giúp tôi một chút không? Tôi sẽ nợ bạn lớn đấy!
Story/X/Voiceline/BikerDialog2;Text;;Oh man! I would’ve been a goner without you. Tip for future me: bears are NOT cuddly!;Trời ơi! Nếu không có bạn chắc tôi tiêu rồi. Lời khuyên cho tôi sau này: gấu KHÔNG dễ thương đâu!
Story/X/Voiceline/BikerDialog3;Text;;Say, you wouldn’t be a rafter, would ya? If ya need some muscle onboard, look no further!;Này, bạn không phải người lái bè à? Nếu cần thêm cơ bắp trên tàu, khỏi tìm đâu xa!
Story/X/Voiceline/BikerDialog4;Text;;Alright, yeah! Leave the heavy lifting to me!;Được rồi, ừ! Để việc nặng cho tôi lo!
Story/X/Voiceline/BikerDialogue1;Text;;Buddy! Yeah, could you be an angel and help me out a bit? I’d owe you big time!;Bạn ơi! Ừ, bạn có thể làm thiên thần giúp tôi một chút không? Tôi sẽ nợ bạn lớn đấy!
Story/X/Voiceline/BikerDialogue2;Text;;Oh man! I would’ve been a goner without you. Tip for future me: bears are NOT cuddly!;Trời ơi! Nếu không có bạn chắc tôi tiêu rồi. Lời khuyên cho tôi sau này: gấu KHÔNG dễ thương đâu!
